ERR; TBK_ORDEN_COMPRA=OC_20130530163704; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=10000; TBK_CODIGO_AUTORIZACION=590613; TBK_FINAL_NUMERO_TARJETA=6623; TBK_FECHA_CONTABLE=0530; TBK_FECHA_TRANSACCION=0530; TBK_HORA_TRANSACCION=192419; TBK_ID_SESION=OC_20130530163704; TBK_ID_TRANSACCION=9946239489; TBK_TIPO_PAGO=VN; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=af1131c51cc952ddcf6559090c1c8b787713955bf13cad70ea35143cffe59e77b8e0ab6fcaa6b783bd445e796e8f9dcd3ea8cde085ac2a6b844da9df3bf5eb6951a8f78d242ecbe288af2d46b7d91a5e6f20f8a8bf76af1311ab35a788d505d0663a2e873615da56bbff93194cde6b1238dda121952417b799efcb3b142e1d5c307ab7faec913eea3d4c39e43bd2d9113f21d53af8fd14c83f95de1e8d67f02341c54914224b3ca83f8e331b825189ade6629339f80b250d3f6c745358d3c94d3574e6f29a4553e824ece8132b51b28b8cbb80cf79272ebe207d95e5de295fcfbe561a7081e1e9b0547f07f5b8f254124d6059bebe14849f5d587460244c0c1451a15a22bc4acb53cbf2ec93d42e5128b64332b64728a25603bbd7a758e57a375a0e928aaf1c549b6090d01f353eb0776ede13c5c5e1333288ea9ede9dc4a0dfc5a88a44d6aabe7d3e8edcc2f889db5d125febfd2a51f06e4e71e45801a4a8572938fa67d45dc12269850dcabeceaeab87e9933c87b4d6e9d3b8649631ca9ccb69abbfd38f6c3f48cbb2614829822120fa259b5277f94cb6bf98d1dcd4eb82c41f9629e1c9ee619605c09061a821b94ec503d117f48e8bfd4e8e26a3e78c942f11cf5c2f5e64b9c1c9de689e407cfe7a36e57e11099a808c3b024168b42ecaf584ba235747bb8d61363b72e8a4682763c76db80b57ec9cf3f3dc7ef85d99189e
ERR; TBK_ORDEN_COMPRA=OC_20130530164240; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=10000; TBK_CODIGO_AUTORIZACION=184674; TBK_FINAL_NUMERO_TARJETA=6623; TBK_FECHA_CONTABLE=0530; TBK_FECHA_TRANSACCION=0530; TBK_HORA_TRANSACCION=192943; TBK_ID_SESION=OC_20130530164240; TBK_ID_TRANSACCION=9946562834; TBK_TIPO_PAGO=VN; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=6c79da32eea0ccae086d230e082c18554e04dddffdfb18901314afd8c9d8e7b0244318c85b6abd7a0ace994d0121ae9ea6fb7e2ad1ff83fe17a930047db2a0be399637b04bdfedf043f3c48ae6c146011067f9096fbcae480bd957fb6b1d74bf57c0c62c70d670dd62344f92eff3d0211c3de6ebae6682a2397716218ff658660239e6361e978bc737d35a3c5e406432dab207560a52bd172b8859ee2c918701b42e1dab98e6d416a94fabbc109454e2fca2e1bba5b1e65669d83ecdda80925c4d6b93ee70f3efa61ef6786e93df707a044a41712e25c5dc4d0d6f7234282d42db324caf093efdf4e5b6cc9cf9ee7a9043f465f03dc6e964ff8b293a0ec121c42e877b8f3e15882c679575c2411918242fd7421b27399cf560ba2244e0505e12daabb2a4efc46e96a6285720486a716c82a18f79629bb27d9ba26fb420fba9f0f12dd8b80dd0d8eba9ea6871ac697ec863d3d1f9e8216efc07b5c5ed5dc5196d95f44e81a2beab7018a49bbae52ffa1151659c8ae5ce252c8d76fe46946e4cb479c48b11159b7d569031ca53469cb49860bb27a3492c309aeed7e5e69573876c50015e7d44e279f2dc675fc5c55e6192bdb8fa82ece057ce836887e13aa5b3c86b5c27fe43d88b7c72d10c50465ae6caefe8e680163ef858325200612a376f6b70405bce25109c550290397b1016a5ab9f6d119b1de6462aeb80c07e618eead0
ERR; TBK_ORDEN_COMPRA=OC_20130530165534; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=10000; TBK_CODIGO_AUTORIZACION=187324; TBK_FINAL_NUMERO_TARJETA=6623; TBK_FECHA_CONTABLE=0530; TBK_FECHA_TRANSACCION=0530; TBK_HORA_TRANSACCION=194314; TBK_ID_SESION=OC_20130530165534; TBK_ID_TRANSACCION=9947370751; TBK_TIPO_PAGO=VD; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=38a1ada95d02dcb44c78d2432dbe631d147c9ad309ca12fd65c7a0aa9185cdeaefa0a82ef5208c34ae3a61eb155f132746fadb49adf173ff7e34ad537c37d05dd900d0f7611847b47f486f6b4c7de52d5c8dd315639672f16c5d0024a785ec12ee8e38bc400561e58c2f8ba41707bcf5139918725ad644c09cdf4f7e7fc6f447ce58d8b545d8465113720c16bee93683cc2811370b91cc6c3b9b9cd73552be038f1baadb838858a93f9d986d059037df03bb453c7555ffa13be1d5f8e97e62409f5bce6b74a0e745632d46daf4b7e4533dd9d659979124ce1797cd64f64e1e99aa05b5686c7631bb689da31a37f1d8bec376bc923f71bd1989ade98423a8be554d90a7c005b62a4d716bf34306d26cb940a7818cccbb1fd8cb2233a1156f669583981f5a701d8ddf9444a26583f5faa29225ed818179ca14d169030042da263a8f69b53a27303178e314c374f6fe5e199ecff890d277f7ff197d861c645c22321d01b675f42712c8c4179396c00389cda18c88355176014f081d6cc3f6f047b75236126d099e5b8c3f59c0cd647569779015fb3d6f70b1f549fc6247890174bad18cc8818230d4d98848540b0ce922f4d0021ae2f126d42d020edef5e8056f258f0979f0d458a10f7e69fe53c007d1d8300208d370f4580d1192596f2e3534be8f4221516e986f1f57f6cb5673f26a02e3606542622b6f6978c02df969913f97
ERR; TBK_ORDEN_COMPRA=OC_20130530172151; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=10000; TBK_CODIGO_AUTORIZACION=815796; TBK_FINAL_NUMERO_TARJETA=6623; TBK_FECHA_CONTABLE=0530; TBK_FECHA_TRANSACCION=0530; TBK_HORA_TRANSACCION=200947; TBK_ID_SESION=OC_20130530172151; TBK_ID_TRANSACCION=9948966857; TBK_TIPO_PAGO=VN; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=478a7b4107c9e3603be64e78dd3d9a873b9991aa208bedf1ea059968956d6bcf5ae71799a8e5e72f8926a0ac499334dde673798efd51b7084720f40af4fefa293c1e951a08f61e1478add3054b46e7daf203fe497e698b6a7ba90fafea68ecc41483ebe17c542e085d1a24fcb5fe8ed7425459b1b8150bed515cc0b367176df54b81169b77ddf1ffbf68fd77ffbdf144ea248f6c4cfd4406a0e0d5c768166052c568cde757a12b1af6ec1184741786a6ac0626e61386e4acafb3da737764467269702feb502e212f9f1cfad9a5c9113aee2ef397fcd165257505da11455867297cd0cf01285c8a4cae62b08edaed792624657ce12fdb566e888d707cc80a8373226a161bbe0659003db23518a5041ee68f2613299e86066e101f1d100b57f360511ebe4e68ab77173f9637388d6c39571d7d57702970a32bd92f38b0a29b0100aae6317912e14408bb756149645d20fb73bc2368251c9a0cbcac392e6d59f8a68edba36209342b7fe2e0a277a91864ec38af4db45dcde64deaaa4944c63b3161c674afaf31c52e0a49fead9abe61b4162a86feece38da6ab7e353a852491f1390644b77980c848e37b3807b626dda7def71308c04e9a8f51b0179f148cc97b8beb0f437b73aa684cd2e0fc6c908a725a03a7695cd74707b6d449fbca588447799150e42780b111326b0f1f626e8505f5cb1961ca2636a586c8fcddf968401bc6
ERR; TBK_ORDEN_COMPRA=OC_20130530172715; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=10000; TBK_CODIGO_AUTORIZACION=700115; TBK_FINAL_NUMERO_TARJETA=6623; TBK_FECHA_CONTABLE=0530; TBK_FECHA_TRANSACCION=0530; TBK_HORA_TRANSACCION=201503; TBK_ID_SESION=OC_20130530172715; TBK_ID_TRANSACCION=9949282702; TBK_TIPO_PAGO=VN; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=b4646fcc52af343f581c98edd334e8601da10a28d79d89196687b73b98987e1d705e1f4c0ef4ebca8b3b2b9e5a347379c59c5d0c8f7779cd5c9dac5e9599381980dea17175445ddc4ed0f8003e8c4c83482c736f90fa6ad9f4d23d3a67b5cd13018fbf98e0da49f1e2235bcb460434245f1cd2f5450529826fb97641d41c5a5ccc1e19664d5f22b3b589fc8b3e1e418e7ff0690ce59f132a555ac75a2c4b1266070f3eeeb88c1943662633f26bc413d7d69a87527ef8420b138f536fa0c0aa50ed9fb5be2d8c2a0c20d3b7ffc1ecb9dc21b6b0700a94d2814bfce5abbfd93f0f70543485dd4a5a4d8a286811e9262afd09a71ea9bb89b1951fcbc7ca95ec90c419b200d37c68728294b6438daee33929adb2bb75c6f4d19dd68f1fdf7518b581132bd8b5418918d2029f24a3fb087bc517aefc4b5682439533d59802c00c20c46ff9f535e9da1cc96e5eab08ebb8be8223c8c8ad427c5d5fd421c9ba30116b926c00dce6506092a522d57b7e5a04d082cf71609e70df2bfbd0bf6c0ef4944763abd90ff497dec73d647dfa0f915a555456605296bb347ed6b4581419391267fd1117e564db4d03ff1a9083fe16eccd494e56c32cc75afcec7a9f9f88bda0e37d4a6cfe9e0f2313c5980d0a4206af24a59ffadf4115d69509a9b846755c7b754eae332562004f5cf490b51d0a447f5b988288f8e13f3508f75b4949a85c0fc6a1
ERR; TBK_ORDEN_COMPRA=OC_20130530174021; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=10000; TBK_CODIGO_AUTORIZACION=971846; TBK_FINAL_NUMERO_TARJETA=6623; TBK_FECHA_CONTABLE=0530; TBK_FECHA_TRANSACCION=0530; TBK_HORA_TRANSACCION=202726; TBK_ID_SESION=OC_20130530174021; TBK_ID_TRANSACCION=9950023455; TBK_TIPO_PAGO=VD; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=1710b32e432491fb7d6f3460f4ed39bb20ed46ecf0b1e302f0071181ae8252e4ff5f7de17c84dc7568ee728c30ed84f75e676208a86aca259a81b64746ce55d8cc72e22e94db5a0f19c7838bfa417faadfd78fed11da41739b0d010831d9883cc413e88bb2c917b7e4a8eba68658bc85d7d64215d918e4f4312f87b1ebd8873398cae963904227f65e1496af3f56a6f357e0d8765a3578b9f008028ec3767aaad4533f65b53c8be445b44b8b7806398a976b66bdcf1b229dfe8bbb7f1ce991c837f4c2b9ba847d3601b3a18ebedbac8458ff38fa380b3f754f51cbb29f7b3f8006ac9791300fdafc45824e6ad6acab62122e2b908c20024c9cce0f6a74377fd2f44b4609c18e1853d32547d2ea65b08cbe2b100853f52d331d631aaa68ce71ef978258a1f0967faf1b73203db162cd7fbf2de5a93bea056f33597b9e6f3316f6c630b5427578e392be7a10b9438d0339fabe9185b66ffacfc8cfcba01ea981314dee6a0312a037b01be3da2f764742a490e8ceb504a194e595d29cf53f4d1f06575552de241e0845454141a5422f37c709a205596dec668d7765f5f532f0cee8513911deb5eec9b4f2a7029e73f1ff14d4993adccb5740c04778bed32ad4c17475b112fe2c79f9228a7d017d3dd01d9ffa15524e6f5ad788bdd797a0ea1201ed9062525ad9173cbc2c071da8706146bfe4bf9f459e4c7195acbda4e74a76c903
ERR; TBK_ORDEN_COMPRA=OC_20130530175625; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=10000; TBK_CODIGO_AUTORIZACION=532678; TBK_FINAL_NUMERO_TARJETA=6623; TBK_FECHA_CONTABLE=0530; TBK_FECHA_TRANSACCION=0530; TBK_HORA_TRANSACCION=204329; TBK_ID_SESION=OC_20130530175625; TBK_ID_TRANSACCION=9950987491; TBK_TIPO_PAGO=VD; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=2088a517d9c0528eda509158155b31eba29047faec164bcadf726908000618d24d2fddc9e987e3b841f8efde715ca409185b2431940b95c60d15a0aa005976760a36021946cf02e4f9b2581a57bc8ad64b47551f4b2f78864cb80c12789b6f1f6a5304aaee8e91fc9174fd32d5cae64ac81f2815cb6862f72c2298c073240d779f06ff22a945b332db3044f13f970e815aef4cecffd88e75a2383aadda8bf6750643aebed540a5719d8190e3c5728b664fe71333e6da3e07ffac423288b3aa1400eedd8d60e1e7c4404f806c6623df8707f85ce29175161b44c8e1dc34e01548f2c32533aafeb5cb96c63e5fbaffefbc89a87c3f567f19b634b72a4aae1241dde8b53b9c3c4b83b3114da1167bcb87e4018f30b12eff96f0bb1a4ab7c791b8e3db20b53ea09b58cd7c1e6fcc1ccc2ad82affcea24af29c2eb1468d28beff6b29ad7021cd6c1aed8919079677ebdfaeadb3266cd31861671688fd7b69b4f647b9ef79765fabeebd42ddb5584c22cb910884fd4cfb02a88840f12330c05ad70424a739fc3d2fe290a62c5dcd5fbe560e4aee555584a8aa4cac36729ed1de7bc54658d75ce04608fdf9293cb167d0260b4b77beb61c461c56e4d6869d5882e7d21196a15e3344db3143adebe6f157f9ab88b59dac0d44fe7b64c1f5761d6017f837787ac3add3c46a133f5907c155a3b4e530946a93c4e70327a16a3f5e5857c1f4
ERR; TBK_ORDEN_COMPRA=OC_20130530180451; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=10000; TBK_CODIGO_AUTORIZACION=436617; TBK_FINAL_NUMERO_TARJETA=6623; TBK_FECHA_CONTABLE=0530; TBK_FECHA_TRANSACCION=0530; TBK_HORA_TRANSACCION=205201; TBK_ID_SESION=OC_20130530180451; TBK_ID_TRANSACCION=9951494630; TBK_TIPO_PAGO=VN; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=4c82216f2f03c1d3534462abf91afc36a02d2b2eaf8df7e732fa91e98b1df1c78c0685d242739e8740a280c5f8c688cda9a25ab83184fc07fe25d9babb2d5938525cef9e057e8b533af7fbc2afb7584a77d510fe7ffc074ef180df938bc5ce0d95e6fd7a31c20cb935992d10c6244aa9f923ca69e2dcc9cc1b84215caf17e6570b5760cdfb15dd2a3313b11cf975f307b7a68e38d295d25f34843eec15920d22728a9ea8a602f4a2714a9a08c96d62be6de40cc6b08561c9e47cb61caf3726caea7714b56990248731b58cba7858f0f4d29313afb7ebec4c4024171bfc5fed4ab32a126af298bf9a49af36126e529ef2a1502ea65b3fa7cd1e19f88cec3576bf477f5d5d63d2f5db78ca49034a470a33aeb77d67c1ec511722eada55d9ce793cbab2491013b4f3cba254f45643cd4e0eb3780f06ed15c5dff7959d790c9f08ea7990dc7f2fe6f5f023652bd9062a7f3361946c88d1f317851ce14d236be82145ed9caaa49b96fc3bc45ab84b2ae30948d943bc2068c39f59c1a9d5a30ec02cd1840369e5b08e96d0276323ca2324b911b55274372d4bafb76dc7e8f488a9f47df6c5180bbe4dcd4c2a1f83d9b259a8eafd0a42b51b0e598efcfb8826662eef355c8d1cc8ab1bd8de0a93e3ede49129ce0b07fb570a1166fe4c545c4092dfb3c233f7ae1b7e6a6625b4af3aa689e63d930c883d83da8ad08ed7a1602adb51b07e
ERR; TBK_ORDEN_COMPRA=OC_20130530182551; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=10000; TBK_CODIGO_AUTORIZACION=321252; TBK_FINAL_NUMERO_TARJETA=6623; TBK_FECHA_CONTABLE=0530; TBK_FECHA_TRANSACCION=0530; TBK_HORA_TRANSACCION=211254; TBK_ID_SESION=OC_20130530182551; TBK_ID_TRANSACCION=9952753235; TBK_TIPO_PAGO=VN; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=5bece5cc9830e2734a7828baba7eb0236d1effb9e92ec8e275431c6dbcc284126b91a2cfaabb2e09261d1bc9345a91d089b2c454a7ffb7f2d4eac3d9bed7e09ddbf94c6f04ca9f43f9108526ae8a4fa7c5e6ec33f931327f2ae2234e33a0245ff8e806d3e5a2331690b29671c816c0380cd2661a51438d9f557c233357bfc2f0ba4890fb513a41e1051e7ed744cf0fb84c15d9155417a118a1bcd23a2cb7dc3a50d7869f4677d31a377f22afc882090288502fb2f4e50e00337d8872ac0b5c970c9850cb223674d514aae5a97c88064e9d8138c3455651b4d2634069cbe219a0b8a63f403f54ae81a530851fc6d5155d279b7fcb42521d3c4847b5f57519795de7d5bf80335d5e8ac071212207983dd47ff60f73e71626d2877d63e2a90972b2dd53a3d10056fdcece8b475fd61c0fc35379df7d5c4217c22c7ff6f34acd4ccf06c72ed4bb1b00d4b4aff3af430f68bbf080911d3757d6377b5c75dfafdbd431ba3db69ea497926246fefde3ff707de1b7b2096958f362b4db916d7e17ee99454f69615c28af7fdfd3fcb59bcfc50ff90c8255bdfff6dec7a54018b114805de53895c7dc71a6047db454f524cdc7b4a0c4f2c34a74e5b59d72307c6a2f01abec4eeed4bbd992b63c27bac9c0c8c9f2992693308192e4c8a7bf124858f985cae52eda96f640546ff3af3150f012bb155f4703c2f58b2f49b3a27114d54ce53400
ERR; TBK_ORDEN_COMPRA=OC_20130530183112; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=10000; TBK_CODIGO_AUTORIZACION=124015; TBK_FINAL_NUMERO_TARJETA=6623; TBK_FECHA_CONTABLE=0530; TBK_FECHA_TRANSACCION=0530; TBK_HORA_TRANSACCION=211817; TBK_ID_SESION=OC_20130530183112; TBK_ID_TRANSACCION=9953074725; TBK_TIPO_PAGO=VD; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=6423ef39acb8b33b2ca2422bbbbacf9fa55e5f8760708768a82b6072ec41325548e8712b6037785865f716fa75ee32e0375a80b1cb40f9cd5baa1ee17a892b4855fefb16bdb487569ce21cccc3d267ade70f44cada954a238a01099fe2cdb02e6df09383a65daaf4c52cb6e8736308ece9cc7fdd6a068dfc8caaa41665b4a4f2556d144805dfca3d635cbfcd70d2fc35c43919ecb36198151973ba6ec5d1ef078c36ab003603f2a240ae7fb4411cdeb6e1ea80dee51499266b8ff7f3bc0b0bc5308ad3d73ad675d3f58a4cb3bd3b0070275533ea2f74f468d1f6e756cbe3fd02d91c3628ce8efcb02cab30f3a55df79024d8752b2a7010332aad9a9f79ad826f3f3f3c2d73301ba254b5efc6df4284b38ea5ea424218258c389a30a1bbfab8623a0152ab29e33849d02ba5f725137f5e7e90fa1cc981abb8dc2cc967d7e30ce5314be9c47b26662dc1593dde295364177e676cc6ca15d1e7860758c34b1377e415d0de38e6d7eb059dfb2f951093370922ab427fd6622962fd88f67993320eda4e85202ce077787b9c1379f6b527419f7b482bd9a00f481724a0b7ce2db24a0b5a690756d5912b918a4b99149f455c4c04e027ff8827676d34b2b5f85a8135d76ca58aef19be44b66026fc4b8272a82c1e0b34d4280243a86567192bcc0dd9dc82e0afce5b336d02e35aa3fb0db77b31f9e1d42cadd3f9131d1132450358fa41
ERR; TBK_ORDEN_COMPRA=OC_20130530183108; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=10000; TBK_CODIGO_AUTORIZACION=192280; TBK_FINAL_NUMERO_TARJETA=6623; TBK_FECHA_CONTABLE=0530; TBK_FECHA_TRANSACCION=0530; TBK_HORA_TRANSACCION=211813; TBK_ID_SESION=OC_20130530183108; TBK_ID_TRANSACCION=9953071506; TBK_TIPO_PAGO=VN; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=8cfc5af99cab55be89bed0d6168118cdf65b346176c02a0049d090b3bac629a846292cb0f25177c73a41dc3749ce70c22a55fe64115a1df3c3d30043451e9eb0342900078108d92a6d98c65e934f8aaa72fa30d1d372128f284ae8e832cd8bd36beae903b851ec68cb3f80b311b4d5be0b1cf365835dd0815243733ae2ae4f39ff71161586dda79ec91580f15f848f52859a62d7478381bdf18a7b36ac76f2b7b3899c494ff466c2824424b4fdb8fcbac4aadf82c193300560f3463a1db0f3df2b0be4e92b64095cf544e26e5b1a5725142d7112029151fc0698da858efb037235521232b5599771e202f1dd95ae686b20473e51d3f55aacb13ac2f45465f5de6c83215017c06d41e69574d1b2151da52b0c9cf79fff18b777f12803199bd566c996fabba1cf47a90c5abba1334a739eaee05a25d69ce690114e1f55cacf4774ea3aca8d39a390fe423132775a0a36ae863fa5689020e9e498904940653441d4f38c95837080ec7b2d85ec78cdd63bfacf8c46352677e884357a9f080f275b5969141bd2998980a177f4923d2a669b8a76df12b82e31bc8b372bfc275362eec0407a2fd484dcdd132ae860339848a874b92a2085e11e212d1efde725c510c80a481afba81741288a18c3bf6f53fb27b9553f72ef840eb39d1fb15601fc62d9dd472533a62ec1bd78794a3ecdd3d2c063e29e93354b02b81ec053bcd2f50f340b
